"name","city","state","country","address","Longitude","Latitude","Municipalities","Website",""
"Parker Cemetery","Vicksburg"," Mississippi"," United States","8648-8698 Oak Ridge Rd Vicksburg, Warren, Mississippi, 39183 United States","-90.721939","32.458611"," Warren","",""
"Palestine Cemetery","Woodland"," Mississippi"," United States","Palestine Rd Woodland, Clay, Mississippi, 39776 United States","-88.92083","33.71056"," Clay","",""
"Palestine Cemetery","Water Valley"," Mississippi"," United States","901-981 County Road 25 Water Valley, Yalobusha, Mississippi, 38965 United States","-89.593315633593","34.182595472144"," Yalobusha","",""
"Palo Alto Cemetery","West Point"," Mississippi"," United States","9588 Mississippi Highway 47 West Point, Clay, Mississippi, 39773 United States","-88.811409343591","33.708942496529"," Clay","",""
"Paris Cemetery","Paris"," Mississippi"," United States","49-53 County Road 428 Paris, Lafayette, Mississippi, 38949 United States","-89.449382025424","34.176212549306"," Lafayette","",""
"Palestine Cemetery","Silver Creek"," Mississippi"," United States","Palestine Rd Silver Creek, Jefferson Davis, Mississippi, 39663 United States","-89.914471787105","31.486782422705"," Jefferson Davis","",""
"Sparr Cemetery","Albany"," Indiana"," United States","4620 North 600 E Road Albany, Delaware, Indiana, 47320 United States","-85.27454731814","40.233955324602"," Delaware","",""
"Sparks Cemetery","Bluffton"," Indiana"," United States","3014-3050 County Line Rd Bluffton, Huntington, Indiana, 46714 United States","-85.334717445634","40.787366218145"," Huntington","",""
"Palestine Cemetery","Georgetown"," Mississippi"," United States","1400-1512 Old River Rd Georgetown, Simpson, Mississippi, 39078 United States","-90.169911805925","31.956251784729"," Simpson","",""
"Sparks Cemetery","Bloomfield"," Indiana"," United States","Indiana 45 Bloomfield, Greene, Indiana, 47424 United States","-86.693062","39.07111"," Greene","",""
"Sparks Cemetery","Crawfordsville"," Indiana"," United States","County Road 800 W Crawfordsville, Montgomery, Indiana, 47933 United States","-87.048889","39.96806"," Montgomery","",""
