name,city,state,country,address,Longitude,Latitude,Municipalities,Website
BE-war Dochy Farm New British Cemetery,Langemark-Poelkapelle, Vlaanderen, Belgium,"101 Zonnebekestraat Langemark-Poelkapelle, West-Vlaanderen, Vlaanderen Belgium",2.971842271164,50.881602307276, West-Vlaanderen,
BE-war Dadizeele New British Cemetery,Moorslede, Vlaanderen, Belgium,"79-93 Beselarestraat Moorslede, West-Vlaanderen, Vlaanderen, 8890 Belgium",3.087636,50.848798, West-Vlaanderen,
BE-war Divisional Cemetery,Ieper, Vlaanderen, Belgium,"2-10 Omloopstraat Ieper, West-Vlaanderen, Vlaanderen Belgium",2.8581629153442,50.848283226071, West-Vlaanderen,
BE-6840 Hamipre church yard,Neufch�teau, Wallonie, Belgium,"Rue des R�collets Neufch�teau, Luxembourg, Wallonie Belgium",5.4557976269837,49.834289539948, Luxembourg,
BE-war Colne Valley Cemetery,Ieper, Vlaanderen, Belgium,"6 Kleine Poezelstraat Ieper, West-Vlaanderen, Vlaanderen Belgium",2.8781885423278,50.885322925808, West-Vlaanderen,
BE-war Coxyde Military Cemetery,Koksijde, Vlaanderen, Belgium,"45 Helvetiastraat Koksijde, West-Vlaanderen, Vlaanderen, 8670 Belgium",2.6420821865082,51.105049790274, West-Vlaanderen,
"BE-war First D.C.L.I. Cemetery, The Bluff",Ieper, Vlaanderen, Belgium,"1 Verbrandemolenstraat Ieper, West-Vlaanderen, Vlaanderen, 8902 Belgium",2.913068338623,50.820876777909, West-Vlaanderen,
BE-war Elzenwalle Brasserie Cemetery,Ieper, Vlaanderen, Belgium,"57 Slijpstraat Ieper, West-Vlaanderen, Vlaanderen Belgium",2.85945,50.810806103159, West-Vlaanderen,
BE-war Dranouter Churchyard,Heuvelland, Vlaanderen, Belgium,"3 Planciusplein Heuvelland, West-Vlaanderen, Vlaanderen, 8951 Belgium",2.7830551018524,50.7661535717, West-Vlaanderen,
BE-war Duits Mil Kerkhof,Overpelt, Vlaanderen, Belgium,"Dodenveldstraat Overpelt, Limburg, Vlaanderen Belgium 
                         
                    ",5.306620728836,51.188237244509, Limburg,http://www.cwgc.org/find-war-dead.aspx?cpage=1&sort=name&order=asc
BE-war Dranoutre Military Cemetery,Heuvelland, Vlaanderen, Belgium,"3 Victoriastraat Heuvelland, West-Vlaanderen, Vlaanderen, 8951 Belgium",2.78039,50.767117142845, West-Vlaanderen,
BE-war Dickebusch Old Military Cemetery,Ieper, Vlaanderen, Belgium,"14-16 Neerplaats Ieper, West-Vlaanderen, Vlaanderen, 8900 Belgium",2.833174,50.819295, West-Vlaanderen,
BE-war Dickebusch New Military Cemetery,Ieper, Vlaanderen, Belgium,"23 Kerkstraat Ieper, West-Vlaanderen, Vlaanderen, 8900 Belgium",2.8329056269836,50.818316778281, West-Vlaanderen,
BE-war Dickebusch New Military Cemetery Extension,Ieper, Vlaanderen, Belgium,"20 Kerkstraat Ieper, West-Vlaanderen, Vlaanderen Belgium",2.8322165889549,50.818300837148, West-Vlaanderen,
BE-6760 Mil,Virton, Wallonie, Belgium,"15 Avenue de la Grange-au-Bois Virton, Luxembourg, Wallonie Belgium",5.5224719828034,49.584694778785, Luxembourg,
BE-6800 Cimeti�re de S�viscourt,Libramont-Chevigny, Wallonie, Belgium,"1 Rue de la Chapelle Libramont-Chevigny, Luxembourg, Wallonie, 6800 Belgium",5.4156141693115,49.957626195123, Luxembourg,
BE-war Derry House Cemetery No.2,Heuvelland, Vlaanderen, Belgium,"9 Krommestraat Heuvelland, West-Vlaanderen, Vlaanderen Belgium",2.900520728836,50.779449648243, West-Vlaanderen,
BE-6730 Cimetiere Militaire Franco-Allemand,Tintigny, Wallonie, Belgium,"Rue de la Bourbouleuse Tintigny, Luxembourg, Wallonie Belgium",5.5146931693115,49.664369499538, Luxembourg,
BE-war Croonaert Chapel Cemetery,8953 Heuvelland, Vlaanderen, Belgium,"5 Voormezelestraat 8953 Heuvelland, West-Vlaanderen, Vlaanderen, 8953 Belgium",2.873040728836,50.799949314341, West-Vlaanderen,
BE-6687 Compogne,Bertogne, Wallonie, Belgium,"324 Compogne Bertogne, Luxembourg, Wallonie, 6687 Belgium",5.704238,50.084578, Luxembourg,
BE-6670 Gie,Gouvy, Wallonie, Belgium,"60 Rue du Naneux Gouvy, Luxembourg, Wallonie Belgium",5.945011119049,50.188455954373, Luxembourg,
