name,city,state,country,address,Longitude,Latitude,Municipalities,Website
Seyyed Shams Āghah,,Urozgan, Afghanistan,Urozgan Afghanistan,66.040833,32.858334,,
Jewish cemetery Novy Sverzhen',Staubcouski rajon, Minskaja voblasc, Belarus,"Unnamed Road Staubcouski rajon, Staubcouski rajon, Minskaja voblasc Belarus",26.7536,53.442262, Staubcouski rajon,
Cemetere Sankt Johannes Batiste,Kl�sterle, Vorarlberg, Austria,"6754, Kl�sterle Kl�sterle, Bludenz, Vorarlberg, 6754 Austria",10.091053,47.131231, Bludenz,
Cmentarz,Skabin, Minskaja voblasc, Belarus,"?8540 ?8540 Skabin, Kapylski rajon, Minskaja voblasc Belarus",27.139579,53.149708, Kapylski rajon,
St. John Parish Church Barbados,Lemon Arbour, Saint Philip, Barbados,"St. John Church Road Lemon Arbour, Saint John, Saint Philip, BB18032 Barbados",-59.497895907461,13.184532482091, Saint John,
St. Philip's Anglican Cemetery,St. Philip, Saint Philip, Antigua and Barbuda,"St Philips Main Road St. Philip, Saint Philip Antigua and Barbuda",-61.726455294924,17.045029751346,,
Foyzabad Hills War Memorial,Habiganj District, Sylhet Division, Bangladesh,"Dhaka-Srimangal Highway Habiganj District, Sylhet Division Bangladesh",91.603827961971,24.292816228399,,
Chur Khai Gorosthan,Sunamganj District, Sylhet Division, Bangladesh,"Damodhar Topi - Chur Khai - Betkona Road Sunamganj District, Sylhet Division Bangladesh",91.494672,24.931401083809,,
Asharkandi Muslim Cemetery,Asharkandi Union, Sylhet Division, Bangladesh,"Dawrai Road Asharkandi Union, Sunamganj District, Sylhet Division Bangladesh",91.654263008598,24.741160791934, Sunamganj District,
City Corporation Cemetery (Sylhet),Sylhet, Sylhet Division, Bangladesh,"Manik Prirer Tila Road Sylhet, Sylhet, Sylhet Division Bangladesh",91.877022915344,24.899807852358, Sylhet,
Windhaag bei Perg,Windhaag bei Perg, Upper Austria, Austria,"1 Eva-Magdalena-Stra�e Windhaag bei Perg, Bezirk Perg, Upper Austria, 4322 Austria",14.679736248418,48.283123964329, Bezirk Perg,
La Capital,San Juan, San Juan, Argentina,"801-899 Calle Juan B Alberdi Oeste San Juan, Capital, San Juan, 5400 Argentina",-68.540001,-31.526961, Capital,
Municipalidad de la Capital,San Juan, San Juan, Argentina,"602-700 Mitre Este San Juan, Capital Department, San Juan Argentina",-68.517466,-31.537206, Capital Department,
Westend Cemetery,West End, West End, Anguilla,"Route 1 West End, West End Anguilla",-63.141482457672,18.176312097883,,
Cementerio Municipal de Ull�m,Ull�m, San Juan, Argentina,"A. S�nchez A. S�nchez Ull�m, Ullun, San Juan Argentina",-68.716533,-31.435684, Ullun,
Railway Field,Sreemangal, Sylhet Division, Bangladesh,"Sreemangal - Bhanugach Road Sreemangal, Moulvi Bazar District, Sylhet Division Bangladesh",91.736164,24.307543221744, Moulvi Bazar District,
Zentralfriedhof Wien - Alter j�discher Friedhof (Tor 1),Wien, Wien, Austria,"933B Weichseltalweg Wien, Austria, Wien, 1110 Austria",16.430566639218,48.155460925107, Austria,
A la Paz del Sur - Cementerio Privado,San Juan, San Juan, Argentina,"301-399 Domnigo F. Sarmiento Sur San Juan, Capital Department, San Juan Argentina",-68.528697,-31.538317, Capital Department,
Cementerio de Albard�n,Albard�n, San Juan, Argentina,"Callej�n Per� Albard�n, Albard�n, San Juan, 5400 Argentina",-68.531166,-31.434106, Albard�n,
Wartberg an der Krems,Wartberg an der Krems, Upper Austria, Austria,"4 Schulstra�e Wartberg an der Krems, Kirchdorf an der Krems, Upper Austria, 4552 Austria",14.116616,47.990715, Kirchdorf an der Krems,
Wartberg ob der Aist ,Wartberg ob der Aist, Upper Austria, Austria,"1 Pfarrplatz Wartberg ob der Aist, Upper Austria, 4224 Austria",14.509225,48.3503464,,
Holy Cross Cemetery,Salta, Salta, Argentina,"Orquetas Salta, Capital Department, Salta Argentina",-65.3937,-24.79753, Capital Department,
Cementerio Parque Coraz�n de Jes�s,San Ramon de la Nueva Oran, Salta, Argentina,"Mariano Moreno San Ramon de la Nueva Oran, Oran, Salta Argentina",-64.318304,-23.118084, Oran,
Zell am Pettenfirst,Zell am Pettenfirst, Upper Austria, Austria,"17 Zell Am Pettenfirst Zell am Pettenfirst, V�cklabruck, Upper Austria, 4842 Austria",13.596601,48.078506, V�cklabruck,
Cementerio Urundel,Or�n, Salta, Argentina,"Manuel Belgrano Or�n, Oran, Salta Argentina",-64.398495,-23.563921, Oran,
La Merced,Cerrillos, Salta, Argentina,"Cerrillos, San Jos� de los Cerrillos, Salta, A4400 Argentina",-65.472346410716,-24.965807777105, San Jos� de los Cerrillos,
Zell am Moos,Zell am Moos, Upper Austria, Austria,"9 Abt-Haberl-Weg Zell am Moos, V�cklabruck District, Upper Austria Austria",13.319984,47.901944, V�cklabruck District,
Cementerio Parque la Paz,Salta, Salta, Argentina,"Avenida Madre Teresa de Calcuta Salta, Capital Department, Salta Argentina",-65.452871,-24.837857, Capital Department,
Cementerio Rosario de Lerma,Rosario de Lerma, Salta, Argentina,"251-275 Avenida San Mart�n Rosario de Lerma, Rosario de Lerma Department, Salta Argentina",-65.574864,-24.983698, Rosario de Lerma Department,
Cementerio de Rosario de la Frontera,Rosario de la Frontera, Salta, Argentina,"800 Salta Rosario de la Frontera, Rosario de la Frontera, Salta Argentina",-64.981019,-25.798908, Rosario de la Frontera,
Cementerio El Carril,Chicoana, Salta, Argentina,"Chicoana, Chicoana, Salta, 4421 Argentina",-65.479643657663,-25.08898520155, Chicoana,
Cementerio Nuevo,Or�n, Salta, Argentina,"Ruta Nacional 50 Or�n, Oran, Salta Argentina",-64.263318,-23.242883, Oran,
Wei�enkirchen im Attergau,Wei�enkirchen im Attergau, Upper Austria, Austria,"2a Wei�enkirchen Im Attergau Wei�enkirchen im Attergau, V�cklabruck, Upper Austria, 4890 Austria",13.417433,47.94992, V�cklabruck,
Cementerio de Oran,San Ramon de la Nueva Oran, Salta, Argentina,"Lamadrid San Ramon de la Nueva Oran, Oran, Salta Argentina",-64.322003,-23.118726, Oran,
Cementerio de Gral. G�emes,General G�emes, Salta, Argentina,"Viamonte General G�emes, General Mart�n Miguel de G�emes, Salta Argentina",-65.037716,-24.670555, General Mart�n Miguel de G�emes,
Cementerio de Colonia Santa Rosa,Or�n, Salta, Argentina,"Avenida Robustiano Manero E Hijos Or�n, Oran, Salta Argentina",-64.423769,-23.402151, Oran,
Cementerio,Tartagal, Salta, Argentina,"1002-1098 Pasaje Milanesi Tartagal, General Jos� de San Mart�n, Salta Argentina",-63.807108,-22.508612, General Jos� de San Mart�n,
Cementerio - Los Churqui,Rosario de la Frontera, Salta, Argentina,"Ruta Provincial 25 Rosario de la Frontera, Rosario de la Frontera, Salta Argentina",-65.186305,-25.848449, Rosario de la Frontera,
Cementerio,Tartagal, Salta, Argentina,"Juan Domingo Per�n Tartagal, General Jos� de San Mart�n, Salta Argentina",-63.807274,-22.508751, General Jos� de San Mart�n,
Cementerio,Cerrillos, Salta, Argentina,"574 Moreno Cerrillos, Cerrillos Department, Salta Argentina",-65.48363,-24.907013, Cerrillos Department,
Cementerio Parque del Amanecer,Met�n Department, Salta, Argentina,"201-299 Lavalle Met�n Department, Metan, Salta Argentina",-64.968414,-25.497212, Metan,
