"name","city","state","country","address","Longitude","Latitude","Municipalities","Website",""
"Orange Hill cemetery ","Orlando"," Florida"," United States","1598 Michigan Street Orlando, Orange, Florida United States","-81.359261289798","28.512786480765"," Orange","",""
"Osteen Cemetery","Deltona"," Florida"," United States","880 Osteen Cemetery Rd Deltona, Volusia, Florida, 32738 United States","-81.155508037322","28.892115990974"," Volusia","",""
"Orange Cemetery","Bristol"," Florida"," United States","County Road 379 Bristol, Liberty, Florida, 32321 United States","-85.024974359648","30.233597652631"," Liberty","",""
"Oslo Cemetery","Vero Beach"," Florida"," United States","603 3rd St SW Vero Beach, Indian River, Florida, 32962 United States","-80.384987610393","27.597525344046"," Indian River","",""
"Osceola Memory Gardens","Kissimmee"," Florida"," United States","1717 Old Boggy Creek Rd Kissimmee, Osceola, Florida, 34746 United States","-81.374080748424","28.305984274893"," Osceola","",""
"Oliver Creek Cemetery","Panama City"," Florida"," United States","null Unnamed Road Panama City, Bay, Florida United States","-85.48615074","30.13205633"," Bay","",""
"Pacheca Cemetery","Weston"," Colorado"," United States","14979-16837 Colorado 12 Weston, Las Animas, Colorado, 81091 United States","-104.87328730555","37.135838553099"," Las Animas","",""
"Orange Heights Cemetery","Hawthorne"," Florida"," United States","NE 83 Pl Hawthorne, Alachua, Florida, 32640 United States","-82.144213647006","29.729932846147"," Alachua","",""
"Orange Hill Baptist Cemetery (Black)","Chipley"," Florida"," United States","Sunday Road Chipley, Washington, Florida United States","-85.49855177341","30.696069077201"," Washington","",""
"Orange Hill Cemetery","Marianna"," Florida"," United States","2831-2899 Booker St Marianna, Jackson, Florida, 32448 United States","-85.244478995668","30.771799279923"," Jackson","",""
"Osteen Memorial Gardens","Deltona"," Florida"," United States","3100 Crest Terrace Deltona, Volusia, Florida, 32738 United States","-81.176343624085","28.887094102459"," Volusia","",""
"Orangedale Cemetery","St Johns"," Florida"," United States","4928-4956 State Highway 13 St Johns, St Johns, Florida, 32259 United States","-81.61376725357","30.009444724954"," St Johns","",""
"Orange Hill Cemetery","Williston"," Florida"," United States","NE 34 Ln Williston, Levy, Florida, 32696 United States","-82.474937677253","29.382287482794"," Levy","",""
"Overland Trail Stage Station Cemetery","Livermore"," Colorado"," United States","838-2324 County Road 43F Livermore, Larimer, Colorado, 80536 United States","-105.36583823857","40.972263700131"," Larimer","",""
"Orange Hill Cemetery","Tampa"," Florida"," United States","4900 E Chelsea St Tampa, Hillsborough, Florida, 33610 United States","-82.4","27.98611"," Hillsborough","",""
"Oriole Cemetery","Brooksville"," Florida"," United States","Withlacoochee State Trail Brooksville, Hernando, Florida, 34602 United States","-82.216495","28.539496"," Hernando","",""
"Ouray Memorial Cemetery","Bayfield"," Colorado"," United States","481-635 County Road 521 Bayfield, La Plata, Colorado, 81122 United States","-107.62760273643","37.125776105856"," La Plata","",""
"Olivet Cemetery aka; Blue Sink Cemetery, aka; Olivet Baptist Church Cemetery","Ocala"," Florida"," United States","10278 SE 25th Ave Ocala, Marion, Florida, 34421 United States","-82.103517707826","29.073090830807"," Marion","",""
"Olson Cemetery","Crawford"," Colorado"," United States","Crawford, Montrose, Colorado, 81415 United States","-107.665558","38.717781"," Montrose","",""
"Otis Cemetery","Otis"," Colorado"," United States","39000-39154 County Road Railroad Otis, Washington, Colorado, 80743 United States","-102.963344","40.135698"," Washington","",""
"Ovid Cemetery","Ovid"," Colorado"," United States","15489-15499 County Road 31 Ovid, Sedgwick, Colorado, 80744 United States","-102.363327","40.975559"," Sedgwick","",""
"Ortiz Cemetery","Antonito"," Colorado"," United States","County Road B Antonito, Conejos, Colorado United States","-106.05002828049","37.00966921415"," Conejos","",""
"Pagoda Cemetery","Routt"," Colorado"," United States","27999 County Road 29 Routt, Routt, Colorado, 81638 United States","-107.41518425306","40.339832362217"," Routt","",""
"Evergreen Cemetery","Calistoga"," California"," United States","13814-13854 California 128 Calistoga, Sonoma, California, 94515 United States","-122.679169","38.636108"," Sonoma","",""
