"name","city","state","country","address","Longitude","Latitude","Municipalities","Website",""
"Prairie County Cemetery","Terry"," Montana"," United States","72 Cemetary Loop Rd Terry, Prairie, Montana, 59349 United States","-105.346239444458","46.7871774699635"," Prairie","",""
"Anderson Cemetery","Liberty"," Mississippi"," United States","Unnamed Rd Liberty, Amite, Mississippi, 39645 United States","-90.792338120451","31.068639260708"," Amite","",""
"Anderson Cemetery","Heidelberg"," Mississippi"," United States","501-513 County Road 35 Heidelberg, Jasper, Mississippi, 39439 United States","-88.98582","31.88047"," Jasper","",""
"Anderson Cemetery","Flora"," Mississippi"," United States","1589-1599 Livingston Vernon Rd Flora, Madison, Mississippi, 39071 United States","-90.245666952168","32.560211774706"," Madison","",""
"Anderson Cemetery","Flora"," Mississippi"," United States","4000-4024 Highway 22 Flora, Madison, Mississippi, 39071 United States","-90.243790013854","32.558243056401"," Madison","",""
"Anderson Cemetery","Pickens"," Mississippi"," United States","294-398 Lemon Rd Pickens, Yazoo, Mississippi, 39146 United States","-90.066879042931","32.880090699336"," Yazoo","",""
"Poplar Cemetery","Poplar"," Montana"," United States","503-507 3rd Ave E Poplar, Roosevelt, Montana, 59255 United States","-105.189438","48.112499"," Roosevelt","",""
"Amity Baptist Cemetery","Woodland"," Mississippi"," United States","486-710 County Road 83 Woodland, Chickasaw, Mississippi, 39776 United States","-88.957713","33.78322"," Chickasaw","",""
"Anderson Cemetery","Centreville"," Mississippi"," United States","3503-3539 Pepper House Rd Centreville, Amite, Mississippi, 39631 United States","-91.024623790062","31.12023922286"," Amite","",""
"Amite River Cemetery","Liberty"," Mississippi"," United States","3999-4135 Powell Rd Liberty, Amite, Mississippi, 39645 United States","-90.830967605686","31.025354950545"," Amite","",""
"Anderson Cemetery","Utica"," Mississippi"," United States","10035 Hickory Ridge Road Utica, Claiborne, Mississippi, 39175 United States","-90.726387","32.057499"," Claiborne","",""
"Amis Cemetery","Conehatta"," Mississippi"," United States","12030 Pikeston Rd Conehatta, Scott, Mississippi, 39057 United States","-89.334425731688","32.49656282612"," Scott","",""
"Polson Catholic Cemetery","Polson"," Montana"," United States","299 Hillcrest Ln Polson, Lake, Montana, 59860 United States","-114.139442","47.682781"," Lake","",""
"Alsop Cemetery","Vaughan"," Mississippi"," United States","101-803 Walker Rd Vaughan, Yazoo, Mississippi, 39179 United States","-90.124443","32.83139"," Yazoo","",""
"Amaziah Cemetery","Hickory Flat"," Mississippi"," United States","1001-1137 County Road 10 Hickory Flat, Union, Mississippi, 38633 United States","-89.211937","34.559719"," Union","",""
"Alton Roberts Cemetery","Magnolia"," Mississippi"," United States","Interstate 55 Magnolia, Pike, Mississippi, 39652 United States","-90.495827","31.041941"," Pike","",""
"Altare Missionary Baptist Church Cemetery","Newton"," Mississippi"," United States","Newton Calhoun Road Newton, Newton, Mississippi, 39035 United States","-89.134484","32.266562"," Newton","",""
"Allens Cemetery","Tupelo"," Mississippi"," United States","2363-2433 Kirkwood Rd Tupelo, Lee, Mississippi, 38801 United States","-88.754723","34.227779"," Lee","",""
"Allen Family Cemetery","Brookhaven"," Mississippi"," United States","2981-3037 Pearlie Drive Northwest Brookhaven, Lincoln, Mississippi, 39601 United States","-90.464472","31.658419"," Lincoln","",""
"Allen Cemetery","Dennis"," Mississippi"," United States","Unnamed Rd Dennis, Tishomingo, Mississippi, 38838 United States","-88.321026488858","34.485335228438"," Tishomingo","",""
"Grace Rocky Hill Lutheran Church Cemetery(Rocky Hill Cemetery)(Saint Peter Rocky","Woodsboro"," Maryland"," United States","10825 Coppermine Rd Woodsboro, Frederick, Maryland, 21798 United States 
                         
                    ","-77.2883604074096","39.5302951997337"," Frederick","http://gracerockyhilllutheran.com/",""
"Grace Cemetery","Mount Vernon"," Maryland"," United States","28337 Mt Vernon Rd Mount Vernon, Somerset, Maryland, 21853 United States","-75.769121185178","38.243990114866"," Somerset","",""
"Grace Cemetery","Brandywine"," Maryland"," United States","11602 Cedarville Rd Brandywine, Prince George's, Maryland, 20613 United States","-76.804443756883","38.663258470645"," Prince George's","",""
"Gorsuch Family Cemetery","Glencoe"," Maryland"," United States","844 Upper Glencoe Road Glencoe, Baltimore, Maryland, 21152 United States","-76.645436","39.562886"," Baltimore","",""
"Grace Cemetery","","","","4436 Hooper Neck Rd 4, Taylors Island, Dorchester, Maryland, 21669 United States","-76.308927236768","38.470980197555","","",""
"Graceham Cemetery","Thurmont"," Maryland"," United States","Moravian Church Rd Thurmont, Frederick, Maryland, 21788 United States","-77.378609","39.61694"," Frederick","",""
