"name","city","state","country","address","Longitude","Latitude","Municipalities","Website",""
"Labunie, Cmentarz Parafialny","Labunie"," Lublin Voivodeship"," Poland","102 Zamojska Labunie, Powiat Zamojski, Lublin Voivodeship, 22-437 Poland","23.360137207397","50.659870499398"," Powiat Zamojski","",""
"Zwierzyniec, Cmentarz Wojenny II WS","Rpn Zwierzyniec"," Lublin Voivodeship"," Poland","15a Bialy Slup Rpn Zwierzyniec, Powiat Zamojski, Lublin Voivodeship, 22-470 Poland","22.993900234746","50.59003379642"," Powiat Zamojski","",""
"Sobienie Jeziory, Cmentarz parafialny","Sobienie-Jeziory"," Masovian Voivodeship"," Poland","13 Cmentarna Sobienie-Jeziory, Powiat Otwocki, Masovian Voivodeship, 08-443 Poland 
                         
                    ","21.30236","51.93003"," Powiat Otwocki","https://sobienie-jeziory.egroby.pl/",""
"Zwierzyniec Cmentarz zydowski","Zwierzyniec"," Lublin Voivodeship"," Poland","40 Monopolowa Zwierzyniec, Powiat Zamojski, Lublin Voivodeship, 22-470 Poland","22.979019","50.621162"," Powiat Zamojski","",""
"Skepsk  Cmentarz ewangelicki","Skepsk"," Kuyavian-Pomeranian Voivodeship"," Poland","Skepsk, Powiat Golubsko-Dobrzynski, Kuyavian-Pomeranian Voivodeship, 87-400 Poland","18.987303787411","53.12075995647"," Powiat Golubsko-Dobrzynski","",""
"Skolatowo Cmentarz Parafialny","Pluskocin"," Masovian Voivodeship"," Poland","1a Nowa Dzierzaznia Pluskocin, Plonsk, Masovian Voivodeship, 09-164 Poland","20.202767","52.619883"," Plonsk","",""
"Skepe Cmentarz","Skepe"," Kuyavian-Pomeranian Voivodeship"," Poland","3 Okopowa Skepe, Powiat Lipnowski, Kuyavian-Pomeranian Voivodeship, 87-630 Poland","19.343417915344","52.866529035755"," Powiat Lipnowski","",""
"Sieroslaw, cmentarz parafialny","Sieroslaw"," Kuyavian-Pomeranian Voivodeship"," Poland","120 Sieroslaw, Powiat Swiecki, Kuyavian-Pomeranian Voivodeship, 86-140 Poland","18.280369987482","53.545196308502"," Powiat Swiecki","",""
"Sep�lno Krajenskie, cmentarz","Sep�lno Krajenskie"," Kuyavian-Pomeranian Voivodeship"," Poland","8 Krzysztofa Kamila Baczynskiego Sep�lno Krajenskie, Powiat Sepolenski, Kuyavian-Pomeranian Voivodeship, 89-400 Poland","17.534900085983","53.456195070918"," Powiat Sepolenski","",""
"Sarnowo","Sarnowo"," Kuyavian-Pomeranian Voivodeship"," Poland","26 Sarnowo, Powiat Chelminski, Kuyavian-Pomeranian Voivodeship, 86-212 Poland","18.708245","53.371014"," Powiat Chelminski","",""
"Laszcz�w Cmentarz parafialny","Laszcz�w"," Lublin Voivodeship"," Poland","23 Jana Pawla Ii Laszcz�w, Powiat Tomaszowski, Lublin Voivodeship, 22-650 Poland","23.738224","50.535373"," Powiat Tomaszowski","",""
"Should be deleted","Ruze"," Kuyavian-Pomeranian Voivodeship"," Poland","Ruze, Powiat Golubsko-Dobrzynski, Kuyavian-Pomeranian Voivodeship, 87-645 Poland","19.174565876739","53.033000427947"," Powiat Golubsko-Dobrzynski","",""
"Sadlowo cmentarz parafialny","Sadlowo"," Kuyavian-Pomeranian Voivodeship"," Poland","6 Sadlowo Sadlowo, Powiat Rypinski, Kuyavian-Pomeranian Voivodeship, 87-500 Poland","19.506616","53.084002"," Powiat Rypinski","",""
"Rozkoch�w Cmentarz Choleryczny z 1855","Rozkoch�w"," Lesser Poland Voivodeship"," Poland","Wiosenna Rozkoch�w, Powiat Chrzanowski, Lesser Poland Voivodeship, 32-551 Poland","19.47199","50.051604"," Powiat Chrzanowski","",""
"Siemon","Siemon"," Kuyavian-Pomeranian Voivodeship"," Poland","597 Siemon, Powiat Torunski, Kuyavian-Pomeranian Voivodeship, 87-133 Poland","18.393607","53.163881"," Powiat Torunski","",""
"Zyrzyn Cmentarz Parafialny","Zyrzyn"," Lublin Voivodeship"," Poland","2a Polna Zyrzyn, Powiat Pulawski, Lublin Voivodeship, 24-103 Poland","22.101511","51.498303"," Powiat Pulawski","",""
"Rozdziele, Cmentarz parafialny","Rozdziele"," Lesser Poland Voivodeship"," Poland","965 Rozdziele, Powiat Bochenski, Lesser Poland Voivodeship, 32-731 Poland","20.46410693242","49.789660645492"," Powiat Bochenski","",""
"Skrwilno, cmentarz parafialny","Skrwilno"," Kuyavian-Pomeranian Voivodeship"," Poland","17b Zielona Skrwilno, Powiat Rypinski, Kuyavian-Pomeranian Voivodeship, 87-510 Poland","19.620030525131","53.0113034378"," Powiat Rypinski","",""
"Zwierzyniec-Cmentarz Parafialny","Zwierzyniec"," Lublin Voivodeship"," Poland","Debowa Zwierzyniec, Powiat Zamojski, Lublin Voivodeship, 22-470 Poland","22.96336","50.61788"," Powiat Zamojski","",""
"Rdziost�w, cmentarz komunalny","Rdziost�w"," Lesser Poland Voivodeship"," Poland","Droga Chelmiec - Kur�w, tzw. obwodnica Stawiarskiego Rdziost�w, Nowy Sacz, Lesser Poland Voivodeship, 33-393 Poland","20.673548444587","49.654610991959"," Nowy Sacz","",""
"Silno Cmentarz mennonicko-ewangelicki","Silno"," Kuyavian-Pomeranian Voivodeship"," Poland","17 Torunska Silno, Powiat Torunski, Kuyavian-Pomeranian Voivodeship, 87-125 Poland","18.727633933202","52.950217982669"," Powiat Torunski","",""
"Regiet�w Cmentarz","Regiet�w"," Lesser Poland Voivodeship"," Poland","11 Regiet�w, Powiat Gorlicki, Lesser Poland Voivodeship, 38-315 Poland","21.217386","49.478053"," Powiat Gorlicki","",""
"Rdziost�w, cmentarz z okresu II Wojny Swiatowej","Rdziost�w"," Lesser Poland Voivodeship"," Poland","Rdziost�w, Nowy Sacz, Lesser Poland Voivodeship, 33-393 Poland","20.673017171278","49.655285524706"," Nowy Sacz","",""
"Kraszowice, cmentarz","Kraszowice"," Lower Silesian Voivodeship"," Poland","2 Kolonia Slisz�w Kraszowice, Powiat Boleslawiecki, Lower Silesian Voivodeship, 59-700 Poland","15.523718526851","51.211012572572"," Powiat Boleslawiecki","",""
"Rajbrot, Cmentarz","Rajbrot"," Lesser Poland Voivodeship"," Poland","191 Rajbrot, Powiat Bochenski, Lesser Poland Voivodeship, 32-725 Poland","20.4854908304","49.825266385797"," Powiat Bochenski","",""
"Rodaki, cmentarz par. Najswietszej Maryi Panny Czestochowskiej","Rodaki"," Lesser Poland Voivodeship"," Poland","Kluczewska Rodaki, Powiat Olkuski, Lesser Poland Voivodeship, 32-310 Poland 
                         
                    ","19.540110067459","50.395592247749"," Powiat Olkuski","http://www.parafiarodaki.pl/",""
"Kowary, grobowce rodu Reuss","Kowary"," Lower Silesian Voivodeship"," Poland","2 Jagiellonska Kowary, Powiat Jeleniog�rski, Lower Silesian Voivodeship, 58-530 Poland","15.843885100249","50.804222615515"," Powiat Jeleniog�rski","",""
"Krasnik Dolny, cmentarz","Krasnik Dolny"," Lower Silesian Voivodeship"," Poland","37 Krasnik Dolny, Powiat Boleslawiecki, Lower Silesian Voivodeship, 59-700 Poland","15.606054","51.308845"," Powiat Boleslawiecki","",""
"Regulice, Cmentarz Parafialny","Regulice"," Lesser Poland Voivodeship"," Poland","11 Koscielna Regulice, Powiat Chrzanowski, Lesser Poland Voivodeship, 32-566 Poland","19.526570813492","50.086348740579"," Powiat Chrzanowski","",""
"Krasnik G�rny, cmentarz","Krasnik G�rny"," Lower Silesian Voivodeship"," Poland","83a Krasnik G�rny, Powiat Boleslawiecki, Lower Silesian Voivodeship, 59-700 Poland","15.624129","51.295522"," Powiat Boleslawiecki","",""
"Rogoznik Cmentarz Komunalny","Rogoznik"," Lesser Poland Voivodeship"," Poland","22 Osiedle Za Torem Rogoznik, Powiat Nowotarski, Lesser Poland Voivodeship, 34-471 Poland","19.93224","49.44869"," Powiat Nowotarski","",""
"Kowary, cmentarz komunalny nowy","Kowary"," Lower Silesian Voivodeship"," Poland","38a Jana Matejki Kowary, Powiat Jeleniog�rski, Lower Silesian Voivodeship, 58-530 Poland 
                         
                    ","15.82353","50.78918"," Powiat Jeleniog�rski","http://nekropolis.kowary.pl/",""
"Kozmin-Orla Cm. Zydowski ","Orla"," Greater Poland Voivodeship"," Poland","Obwodnica Kozmina Wlkp (Prok.) Orla, Powiat Krotoszynski, Greater Poland Voivodeship, 63-720 Poland","17.477059","51.83517"," Powiat Krotoszynski","",""
"Kowary, cmentarz","Kowary"," Lower Silesian Voivodeship"," Poland","20 Stanislawa Staszica Kowary, Powiat Jeleniog�rski, Lower Silesian Voivodeship, 58-530 Poland","15.837083","50.794714"," Powiat Jeleniog�rski","",""
"Krepa, cmentarz komunalny","Krepa"," Lower Silesian Voivodeship"," Poland","null null Krepa, Powiat Polkowicki, Lower Silesian Voivodeship, 59-170 Poland 
                         
                    ","15.85647954","51.5418306"," Powiat Polkowicki","http://www.mzgmprzemkow.pl",""
"Krepice, cmentarz parafialny","Krepice"," Lower Silesian Voivodeship"," Poland","19 Morwowa Krepice, Powiat Sredzki, Lower Silesian Voivodeship, 55-330 Poland","16.810899475905","51.165000234027"," Powiat Sredzki","",""
"Kotowice, cmentarz niemiecki","Kotowice"," Lower Silesian Voivodeship"," Poland","22 Kotowice, Powiat Glogowski, Lower Silesian Voivodeship, 67-221 Poland","16.319365","51.627153"," Powiat Glogowski","",""
"Kolaczkowice, cmentarz","Kolaczkowice"," Greater Poland Voivodeship"," Poland","23 Kolaczkowice, Powiat Rawicki, Greater Poland Voivodeship, 63-910 Poland","17.041844","51.710269"," Powiat Rawicki","",""
"Kozlice, cmentarz","Kozlice"," Lower Silesian Voivodeship"," Poland","Kozlice, Powiat Polkowicki, Lower Silesian Voivodeship, 59-180 Poland","15.888663","51.607502"," Powiat Polkowicki","",""
"Kowalew, Cmentarz parafialny","Kowalew"," Greater Poland Voivodeship"," Poland","2 Cmentarna Kowalew, Powiat Pleszewski, Greater Poland Voivodeship, 63-300 Poland 
                         
                    ","17.726485495987","51.880572178917"," Powiat Pleszewski","https://kowalew.grobonet.com/index.php",""
"Sierpc, cmentarz komunalny","Sierpc"," Masovian Voivodeship"," Poland","25 Tadeusza Kosciuszki Sierpc, Powiat Sierpecki, Masovian Voivodeship, 09-200 Poland","19.656989710312","52.865254831952"," Powiat Sierpecki","",""
"Siennica, Cmentarz Parafialny","Siennica"," Masovian Voivodeship"," Poland","24 Akacjowa Siennica, Powiat Minski, Masovian Voivodeship, 05-332 Poland","21.622623898148","52.098148454985"," Powiat Minski","",""
"Sielun Cmentarz","Sielun"," Masovian Voivodeship"," Poland","Sielun, Powiat Makowski, Masovian Voivodeship, 06-231 Poland","21.400647847885","52.936215264191"," Powiat Makowski","",""
"Kotl�w, Cmentarz","Kotl�w"," Greater Poland Voivodeship"," Poland","101 Kaliska Kotl�w, Powiat Ostrzeszowski, Greater Poland Voivodeship, 63-510 Poland","17.969239197266","51.544158976017"," Powiat Ostrzeszowski","",""
"Kozielsko, cmentarz","Kozielsko"," Greater Poland Voivodeship"," Poland","6 Kozielsko, Powiat Wagrowiecki, Greater Poland Voivodeship, 62-107 Poland","17.417066920288","52.817494811816"," Powiat Wagrowiecki","",""
"Sik�rz Stary Cmentarz","Sik�rz"," Masovian Voivodeship"," Poland","559 Sik�rz, Powiat Plocki, Masovian Voivodeship, 09-413 Poland","19.57785940741","52.637531021705"," Powiat Plocki","",""
"Kotusz, Cmentarz Parafialny","Kotusz"," Greater Poland Voivodeship"," Poland","Kotusz 6 Kotusz, Powiat Grodziski, Greater Poland Voivodeship, 64-060 Poland","16.484462651092","52.099651065668"," Powiat Grodziski","",""
"Kolaczkowo, cm. parafialny","Kolaczkowo"," Greater Poland Voivodeship"," Poland","3 Szeroka Kolaczkowo, Powiat Wrzesinski, Greater Poland Voivodeship, 62-306 Poland","17.61706","52.217295"," Powiat Wrzesinski","",""
"Siedlce Lapidarium","Siedlce"," Masovian Voivodeship"," Poland","12 Cmentarna Siedlce, Siedlce, Masovian Voivodeship, 08-110 Poland","22.271149","52.171504"," Siedlce","",""
