"name","city","state","country","address","Longitude","Latitude","Municipalities","Website",""
"Lubin, Cmentarz Parafialny","Lubin"," Greater Poland Voivodeship"," Poland","2 Biezynska Lubin, Powiat Koscianski, Greater Poland Voivodeship, 64-010 Poland","16.898822728836","51.967470033248"," Powiat Koscianski","",""
"Lubotyn - cmentarz","Lubotyn"," Greater Poland Voivodeship"," Poland","59 Lubotyn Lubotyn, Kolo, Greater Poland Voivodeship, 62-620 Poland","18.625823441559","52.399302631633"," Kolo","",""
"Lubst�w - cmentarz","Lubst�w"," Greater Poland Voivodeship"," Poland","4a Cmentarna Lubst�w, Konin, Greater Poland Voivodeship, 62-610 Poland","18.479174862352","52.345335971154"," Konin","",""
"Torun, cmentarz ewangelicki","Torun"," Kuyavian-Pomeranian Voivodeship"," Poland","25 Rudacka Torun, Torun, Kuyavian-Pomeranian Voivodeship, 87-100 Poland","18.6423","53.00629"," Torun","",""
"Warszawa - Cmentarz parafialny na Sluzewie ul. Walbrzyska ","Warsaw"," Masovian Voivodeship"," Poland","ul. Walbrzyska Warsaw, Warszawa (Mokot�w), Masovian Voivodeship, 02-743 Poland","21.034183761895","52.172585277495"," Warszawa (Mokot�w)","",""
"Torun dawny cmentarz zydowski","Torun"," Kuyavian-Pomeranian Voivodeship"," Poland","6-6c Konopackich Torun, Torun, Kuyavian-Pomeranian Voivodeship, 87-100 Poland","18.628542559524","53.016661817139"," Torun","",""
"Umiast�w, Cmentarz Komunalny","Umiast�w"," Masovian Voivodeship"," Poland","41 Umiastowska Umiast�w, Powiat Warszawski Zachodni, Masovian Voivodeship, 05-850 Poland","20.772292134918","52.225916852544"," Powiat Warszawski Zachodni","",""
"Torun cmentarz sw. Piotra i Pawla (stary)","Torun"," Kuyavian-Pomeranian Voivodeship"," Poland","104 Poznanska Torun, Torun, Kuyavian-Pomeranian Voivodeship, 87-100 Poland","18.586837","52.992644"," Torun","",""
"Tluszcz, cmentarz ","Tluszcz"," Masovian Voivodeship"," Poland","15 Armii Krajowej Tluszcz, Powiat Wolominski, Masovian Voivodeship, 05-240 Poland","21.455650653992","52.429258493368"," Powiat Wolominski","",""
"Torun, cmentarz parafialny p w NMP ","Torun"," Kuyavian-Pomeranian Voivodeship"," Poland","12d Ludwika Zamenhofa Torun, Torun, Kuyavian-Pomeranian Voivodeship, 87-100 Poland 
                         
                    ","18.595833440475","53.02739892686"," Torun","torunskiecmentarze.pl",""
"Torun cmentarz solecki","Zlotoria"," Kuyavian-Pomeranian Voivodeship"," Poland","Pomorska Zlotoria, Powiat Torunski, Kuyavian-Pomeranian Voivodeship, 87-162 Poland","18.710189","52.979592"," Powiat Torunski","",""
"Szczawnica Cmentarz","Szczawnica"," Lesser Poland Voivodeship"," Poland","63 Gl�wna Szczawnica, Powiat Nowotarski, Lesser Poland Voivodeship, 34-460 Poland","20.470628","49.427078"," Powiat Nowotarski","",""
"Torun Cmentarz sw. Jakuba","Torun"," Kuyavian-Pomeranian Voivodeship"," Poland","10 Antoniego Antczaka Torun, Torun, Kuyavian-Pomeranian Voivodeship, 87-100 Poland","18.62612","53.01627"," Torun","",""
"Szczurowa Cmentarz Parafialny","Szczurowa"," Lesser Poland Voivodeship"," Poland","13 Szkolna Szczurowa, Powiat Brzeski, Lesser Poland Voivodeship, 32-820 Poland","20.63688","50.117076"," Powiat Brzeski","",""
"Torun, Cmentarz komunalny","Torun"," Kuyavian-Pomeranian Voivodeship"," Poland","90-110 Stara Droga Torun, Torun, Kuyavian-Pomeranian Voivodeship, 87-100 Poland","18.642947406082","52.990078333964"," Torun","",""
"Szczawnica Cmentarz","Szczawnica"," Lesser Poland Voivodeship"," Poland","1 Gl�wna Szczawnica, Powiat Nowotarski, Lesser Poland Voivodeship, 34-460 Poland","20.4819640000001","49.425098"," Powiat Nowotarski","",""
"Szczawa, Cmentarz parafialny","Szczawa"," Lesser Poland Voivodeship"," Poland","968 Szczawa, Powiat Limanowski, Lesser Poland Voivodeship, 34-607 Poland","20.307858752269","49.596511402069"," Powiat Limanowski","",""
"Szaflary Cmentarz Parafialny","Szaflary"," Lesser Poland Voivodeship"," Poland","14a Ogrodowa Szaflary, Powiat Nowotarski, Lesser Poland Voivodeship, 34-424 Poland","20.024","49.41614"," Powiat Nowotarski","",""
"Torun, Cmentarz parafialny sw. Antoniego","Torun"," Kuyavian-Pomeranian Voivodeship"," Poland","55b Owsiana Torun, Torun, Kuyavian-Pomeranian Voivodeship, 87-100 Poland 
                         
                    ","18.586956","53.052185"," Torun","http://antoni-torun.pl/cmentarz-parafialny/",""
"Szczepan�w, Cmentarz Parafialny","Szczepan�w"," Lesser Poland Voivodeship"," Poland","35 Swietego Stanislawa Szczepan�w, Powiat Brzeski, Lesser Poland Voivodeship, 32-823 Poland 
                         
                    ","20.648123186721","50.0065648864271"," Powiat Brzeski","http://szczepanow.grobonet.com/grobonet/start.php",""
