"name","city","state","country","address","Longitude","Latitude","Municipalities","Website",""
"Eskisehir Asagi Muttalip Mezarligi","Muttalip"," Eskisehir"," Turkey","Saricakaya Caddesi Muttalip, Tepebasi, Eskisehir Turkey","30.5557710000001","39.836676"," Tepebasi","",""
"Alpu Mezarligi","Alpu"," Eskisehir"," Turkey","26-25 Alpu, Alpu, Eskisehir, 26850 Turkey","30.960294","39.773904"," Alpu","",""
"Yukaribeylerbeyi Mezarligi","Yukaribeylerbeyi"," Gaziantep"," Turkey","22 10 Nolu Sokak Yukaribeylerbeyi, Sehitkamil, Gaziantep, 27900 Turkey","37.385717","37.12472"," Sehitkamil","",""
"Yesilkent Mezarligi Idari Binasi","Sahinbey"," Gaziantep"," Turkey","Gaziantep Yesilkent Mezarligi Sahinbey, Gaziantep, 27900 Turkey","37.4180719999999","37.0101","","",""
"T�rkbah�e Mezarligi","Islahiye"," Gaziantep"," Turkey","Gaziantep Antakya Yolu Islahiye, Gaziantep, 27800 Turkey","36.618298","37.061928","","",""
"Mezarlik","Gaziantep"," Gaziantep"," Turkey","Yavuzeli Caddesi Gaziantep, Sehitkamil, Gaziantep, 27000 Turkey","37.401245","37.087573"," Sehitkamil","",""
"Kozdere Mezarligi","Kozdere"," Gaziantep"," Turkey","Gaziantep Antakya Yolu Kozdere, Islahiye, Gaziantep, 27845 Turkey","36.671067","37.125208"," Islahiye","",""
"Karsiyaka Mezarligi","Birecik"," Gaziantep"," Turkey","Eski Nizip Yolu Birecik, Nizip, Gaziantep, 27700 Turkey","37.968527","37.033791"," Nizip","",""
"Gaziantep Yesilkent Mezarligi","Sahinbey"," Gaziantep"," Turkey","Gaziantep Yesilkent Mezarligi Sahinbey, Gaziantep, 27900 Turkey","37.415312","37.014584","","",""
"Boyno Mezarligi","Sehitkamil"," Gaziantep"," Turkey","Boyno Yolu Sehitkamil, Gaziantep, 27000 Turkey","37.244805","37.18554","","",""
"Mezarlik","Gaziantep"," Gaziantep"," Turkey","50 16. Sokak Gaziantep, Sehitkamil, Gaziantep, 27000 Turkey","37.402571","37.080424"," Sehitkamil","",""
"Asri Mezarlik","Gaziantep"," Gaziantep"," Turkey","Yavuzeli Caddesi Gaziantep, Sehitkamil, Gaziantep, 27000 Turkey","37.3958319999999","37.075826"," Sehitkamil","",""
"Gaziantep Mezar Bakim","Gaziantep"," Gaziantep"," Turkey","37 Ali Fuat Cebesoy Bulvari Gaziantep, Sehitkamil, Gaziantep, 27000 Turkey","37.371758","37.072016"," Sehitkamil","",""
"Birecik Asri Mezarligi Seyh Cemalettin 2 Kapisi","Birecik"," Gaziantep"," Turkey","Eski Nizip Yolu Birecik, Nizip, Gaziantep, 27700 Turkey","37.968885","37.031707"," Nizip","",""
"Yalica Mezarligi","Bulancak"," Giresun Province"," Turkey","E70 Bulancak, Giresun Province, 28300 Turkey","38.297421","40.935476","","",""
"Yeni Belediyesi Mezarligi","Bulancak"," Giresun Province"," Turkey","Dik Sokak Bulancak, Bulancak, Giresun Province, 28300 Turkey","38.22537","40.929874"," Bulancak","",""
"Tarihi Kovancak Mezarligi","Yalik�y"," Giresun Province"," Turkey","Kazim Kirbas Sokak Yalik�y, Bulancak, Giresun Province, 28300 Turkey","38.29945","40.929721"," Bulancak","",""
"Sehir Mezarligi","Giresun"," Giresun Province"," Turkey","1-3 Gedikkaya Caddesi Giresun, Giresun Merkez, Giresun Province, 28000 Turkey","38.406073","40.911604"," Giresun Merkez","",""
"Cemetary","Eskisehir"," Eskisehir"," Turkey","Istiklal Caddesi, S�tl�ce Eskisehir, Tepebasi, Eskisehir, 26000 Turkey","30.502958","39.802726"," Tepebasi","",""
"Mezarlik","Piraziz"," Giresun"," Turkey","Piraziz Yolu Piraziz, Giresun Turkey","38.17187","40.934945","","",""
"Mezarlik","Piraziz"," Giresun Province"," Turkey","Piraziz-G�k�eali Yolu Piraziz, Giresun Province Turkey","38.0931439999999","40.911944","","",""
"Mezarlik","G�ce"," Giresun"," Turkey","G�ce, Giresun Turkey","38.764371","40.97863","","",""
"Mezarlik","Kesap"," Giresun"," Turkey","Kesap, Giresun Turkey","38.87983","40.092835","","",""
"Mezarlik","Kesap"," Giresun"," Turkey","Kesap, Giresun Turkey","38.811991","40.119773","","",""
"Mezarlik","G�rele"," Giresun"," Turkey","G�rele, Giresun Turkey","39.0094320000001","41.023513","","",""
"K�seli Mahallesi Mezarligi","Eynesil"," Giresun"," Turkey","Trabzon Giresun Yolu Eynesil, Giresun Turkey","39.125593991402","41.052694181359","","",""
"Dedeoglu Mezarligi","Eynesil"," Giresun"," Turkey","Eynesil, Giresun Turkey","39.108097","41.046858","","",""
"Boztepe Mahallesi Mezarligi","Eynesil"," Giresun"," Turkey","Eynesil, Giresun Turkey","39.152408","41.070268","","",""
